"name","category","size","open_date","close_date","owner","description","hours","source","scrape_date"
"Bienvenue Dans Votre Marché Cherbourg La Glacerie","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Chilly-mazarin","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Choisey","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-20:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Cholet Nord","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Cholet Sud","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Châlons-en-champagne Fagnières","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Châlons-en-champagne Saint-memmie","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Château-thierry","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Châteaubernard","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Châtellerault","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Châtenoy-le-royal","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Civrieux D'azergues (lozanne)","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Claye-souilly","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Clermont-ferrand Cristal","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Clermont-ferrand Le Brézet","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Clermont-ferrand Nord","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Clermont-ferrand Pardieu","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Cluses","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:00 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Cogolin","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:00 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Coignières","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Colmar Nord","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Colmar Sud","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Colomiers","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Combs-la-ville","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Contern","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-19:00 Samedi 09/05 : Fermeture exceptionnelle Mercredi 13/05 : Ouverture exceptionnelle 8:30-19:00 Jeudi 14/05 : Fermeture exceptionnelle Lundi 25/05 : Fermeture exceptionnelle En Juin Lundi 22/06 : Ouverture exceptionnelle 8:30-18:00 Mardi 23/06 : Fermeture exceptionnelle","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Cormeilles-en-parisis","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Cormontreuil","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Coudekerque Branche","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Coulommiers","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Creil St-maximin","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Croissy-beaubourg","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Crolles","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:00 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Danjoutin (belfort)","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Davézieux","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:00 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Dieppe","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Divonne-les-bains","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Domancy","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Dommartin-lès-toul","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Domérat-prémilhat","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Dreux","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Drumettaz","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Dury","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Décines","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Echirolles","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:00 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Ecole Valentin","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Epagny","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Esbly","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Essey-lès-nancy","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Etampes","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Fameck","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Fegersheim","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Ferney-voltaire","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:30 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:30 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Firminy","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Fleury-sur-orne","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Forbach","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Fresnes","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Frouard","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Fréjus","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:00 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Férin (douai)","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Gaillac","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Gap","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Gardanne","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Gonesse","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Gonfreville-l'orcher","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Goussainville","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Grabels","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:00 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Grand Quevilly","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
